SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-31-2018,Single Family Residential,2591 Wine Country Ave,Napa,CA,94558,730000,3,2.5,Napa,2121,6225,1996,49,344,,Sold,,,http://www.redfin.com/CA/Napa/2591-Wine-Country-Ave-94558/home/12191713,BAREIS,21712477,N,Y,38.3287201,-122.3367247
PAST SALE,March-12-2018,Single Family Residential,3966 Raleigh St,Napa,CA,94558,540000,4,2,Napa,1546,7013,1968,9,349,,Sold,,,http://www.redfin.com/CA/Napa/3966-Raleigh-St-94558/home/12192696,BAREIS,21801647,N,Y,38.3287622,-122.3191222
PAST SALE,,Single Family Residential,30 Holly Ct,Napa,CA,94558,658000,4,3,,3903,25258,1973,,169,,,,,http://www.redfin.com/CA/Napa/30-Holly-Ct-94558/home/12216487,,,N,Y,38.3199464,-122.2709051
PAST SALE,December-26-2017,Single Family Residential,145 Jefferson St,Napa,CA,94559,635000,3,2,Napa,1359,7693,1948,85,467,,Sold,,,http://www.redfin.com/CA/Napa/145-Jefferson-St-94559/home/12189192,BAREIS,21727512,N,Y,38.288453,-122.2945623
PAST SALE,December-21-2017,Single Family Residential,106 Quarry Dr,Napa,CA,94559,1200000,4,3.5,Napa,3117,10520,2001,90,385,,Sold,,,http://www.redfin.com/CA/Napa/106-Quarry-Dr-94559/home/12214031,BAREIS,21726473,N,Y,38.2876557,-122.2610907
PAST SALE,March-19-2018,Single Family Residential,2268 Las Flores Dr,Napa,CA,94558,690000,5,3,Napa,2343,6835,1974,2,294,,Sold,,,http://www.redfin.com/CA/Napa/2268-Las-Flores-Dr-94558/home/12192149,BAREIS,21725044,N,Y,38.3316974,-122.3256764
PAST SALE,December-29-2017,Single Family Residential,2505 Macmillan St,Napa,CA,94558,555000,3,2,Napa,1080,6016,1963,82,514,,Sold,,,http://www.redfin.com/CA/Napa/2505-Macmillan-St-94558/home/12207347,BAREIS,21725391,N,Y,38.317859,-122.3228422
PAST SALE,,Single Family Residential,3420 Valley Glen Ln,Napa,CA,94558,141000,3,1.5,,1964,13080,1955,,72,,,,,http://www.redfin.com/CA/Napa/3420-Valley-Glen-Ln-94558/home/12205994,,,N,Y,38.3065267,-122.338518
PAST SALE,January-3-2018,Single Family Residential,3997 Klamath Way,Napa,CA,94558,555500,4,2,Napa,1474,9370,1977,77,377,,Sold,,,http://www.redfin.com/CA/Napa/3997-Klamath-Way-94558/home/12204640,BAREIS,21710024,N,Y,38.3305567,-122.3159335
PAST SALE,December-21-2017,Single Family Residential,1703 Paulson Way,Napa,CA,94558,660000,4,2,Napa,1814,6138,1973,90,364,,Sold,,,http://www.redfin.com/CA/Napa/1703-Paulson-Way-94558/home/12204487,BAREIS,21722775,N,Y,38.3379042,-122.3199193
PAST SALE,December-26-2017,Single Family Residential,245 Buttercup Ct,Napa,CA,94559,882000,4,3.5,Napa,2678,6974,2007,85,329,80,Sold,,,http://www.redfin.com/CA/Napa/245-Buttercup-Ct-94559/home/12224999,BAREIS,21725981,N,Y,38.2905167,-122.2666515
PAST SALE,January-18-2018,Single Family Residential,3622 Argyle St,Napa,CA,94558,735000,4,2.5,Napa,2001,8655,1971,62,367,,Sold,,,http://www.redfin.com/CA/Napa/3622-Argyle-St-94558/home/12192852,BAREIS,21724030,N,Y,38.3205703,-122.3253221
